name,city,state,country,workerCount,womenPercentage,engagementProgram,x,y
"Shenzhen Sunway Communication Co., Ltd",Shenzhen,Guangdong,China,1001+,51-75%,NA,114.055,22.545
"Hengli Precision Industry (Guandong) Co., Ltd",Zhongshan,Guangdong,China,501-1000,26-50%,NA,113.366,22.521
"X.J. Electrics (Hubei) Co., Ltd",Qichun,Hubei,China,1001+,51-75%,NA,115.433,30.23
"Meritronics, inc.",Milpitas,California,United States,0-100,51-75%,NA,-121.907,37.428
"Guangxi Lipu Lilin Wood Products Co., Ltd.",Guilin,Guangxi,China,101-500,51-75%,NA,110.355,24.519
Cleveland Manufacturing S.A. ,Port-au-Prince,NA,Haiti,1001+,51-75%,Better Work,-72.264,18.576
Capsugel Manufacturing Inc,Greenwood,South Carolina,United States,0-100,0-25%,NA,-82.162,34.195
"Micron Technology, Inc. ",Boise,Idaho,United States,101-500,,NA,-116.201,43.617
Diamond Processors Of Ripon,Ripon,California,United States,101-500,26-50%,NA,-121.124,37.742
Hung Ha High Tech Production & Trade Centre,Hung Ha,Thái Bình,Vietnam,1001+,76-100%,Better Work,106.216,20.593
"Lian Zheng Electronics (Shen Zhen) Co, Ltd",Shenzhen,Guangdong,China,501-1000,26-50%,NA,114.055,22.545
"Hulu Garment Co., Ltd.",Phnom Penh,Phnom Penh,Cambodia,1001+,76-100%,Better Work,104.814,11.551
"Esquel Garment Manufacturing Vietnam - Hoabinh Co., Ltd",Lương Sơn,Hòa Bình,Vietnam,1001+,76-100%,"Better Work, HERhealth",105.507,20.851
Diodes Zetex Semiconductors,Oldham,England,United Kingdom,501-1000,51-75%,NA,-2.138,53.541
Smile Electronics Ltd.,Bangalore,Karnataka,India,101-500,26-50%,NA,77.591,12.979
Hai Anh Tex Joint Stock Company,Bình Giang,Hải Dương,Vietnam,1001+,76-100%,Better Work,106.182,20.887
"Jie Zhi Yang Plastic Industrial Co., Ltd",Dongguan,Guangdong,China,501-1000,26-50%,NA,113.747,23.044
KEMET (San Nicolas),San Nicolás de los Garza,Nuevo Leon,Mexico,501-1000,26-50%,NA,114.068,22.546
Att Tekstil San Ve Tic A.S. (Kirklareli Branch),Merkez,Kirklareli Province,Turkey,101-500,76-100%,NA,27.21,41.77
Katerini Textile Ltd,Pernik,Pernik Province,Bulgaria,101-500,76-100%,NA,23.057,42.608
Epson Precision Thailand Ltd., A. Pleang Yao ,Chachoengsao,Thailand,501-1000,0-25%,NA,101.076,13.679
Aluf Plastics,Orangeburg ,New York,United States,101-500,0-25%,NA,-73.95,41.047
